2018-01-18 16:40:29.3908 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:40:29.3908 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 16:40:29.3908 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 16:40:29.3908 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 16:40:29.3908 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 16:40:29.3978 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 16:40:29.3978 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 16:40:29.3978 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-18 16:40:29.7573 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 16:40:39.1961 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-18 16:40:39.2886 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 16:40:39.3671 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-18 16:40:39.5076 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-18 16:58:40.9337 DESKTOP-2Q89F24 13  ::1 FacadeBase Login Begin
2018-01-18 16:58:40.9642 DESKTOP-2Q89F24 13  ::1 FacadeBase Login End
2018-01-18 16:58:41.0697 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 16:58:41.0697 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:58:41.0697 DESKTOP-2Q89F24 13 SRS1 ::1 MenuFacade Init Begin
2018-01-18 16:58:41.1402 DESKTOP-2Q89F24 13 SRS1 ::1 MenuFacade Init End
2018-01-18 16:58:54.6421 DESKTOP-2Q89F24 14 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 16:58:54.6421 DESKTOP-2Q89F24 14 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:58:54.6421 DESKTOP-2Q89F24 14 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 16:58:54.6421 DESKTOP-2Q89F24 14 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 16:58:54.6421 DESKTOP-2Q89F24 14 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 16:58:54.6481 DESKTOP-2Q89F24 14 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 16:58:54.6481 DESKTOP-2Q89F24 14 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 16:58:54.6481 DESKTOP-2Q89F24 14 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 16:58:54.6481 DESKTOP-2Q89F24 14 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-18 16:58:55.3316 DESKTOP-2Q89F24 14 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-18 16:59:03.0036 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 16:59:03.0036 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:59:03.0036 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 16:59:03.0036 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 16:59:03.0036 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 16:59:03.0036 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck End
